id	like	retweet	date
1063303588770918400	0	0	2018-11-16 05:31:45
1053722877340643328	0	0	2018-10-20 19:01:25
1052366125831315457	0	0	2018-10-17 01:10:11
1042518864276402176	0	0	2018-09-19 21:00:40
1038166633754370054	0	0	2018-09-07 20:46:28
1036678369423892481	1	0	2018-09-03 18:12:38
1033195607027081216	0	0	2018-08-25 03:33:23
1033161771798941696	1	0	2018-08-25 01:18:56
1032324914848714752	0	0	2018-08-22 17:53:34
1031696087042674688	0	0	2018-08-21 00:14:49
1031671968804864001	0	0	2018-08-20 22:38:59
1028449952194801664	1	0	2018-08-12 01:15:50
1027284056680157184	0	0	2018-08-08 20:02:59
1027278917202333696	0	0	2018-08-08 19:42:34
1027051714053058565	0	0	2018-08-08 04:39:44
1026515952379281408	1	0	2018-08-06 17:10:49
1026509923109298181	1	0	2018-08-06 16:46:51
1025582186873937920	1	0	2018-08-04 03:20:22
1025571661721030656	1	0	2018-08-04 02:38:33
1025571545236877312	1	0	2018-08-04 02:38:05
1023387002434187265	0	0	2018-07-29 01:57:29
1023248719641292800	1	0	2018-07-28 16:48:00
1022584057497088006	1	0	2018-07-26 20:46:52
1022184580927946752	1	0	2018-07-25 18:19:30
1017623805219491841	0	0	2018-07-13 04:16:36
1016051675356778497	0	0	2018-07-08 20:09:31
1016033522534903809	5	1	2018-07-08 18:57:23
1016028984814067713	6	1	2018-07-08 18:39:21
1009148740358365185	0	0	2018-06-19 18:59:43
1005362483534721024	0	0	2018-06-09 08:14:29
1001596208094367744	0	0	2018-05-29 22:48:39
1001592836188508160	0	0	2018-05-29 22:35:15
997958711258759168	1	0	2018-05-19 21:54:32
997889037150117894	1	0	2018-05-19 17:17:40
994606091496513536	0	0	2018-05-10 15:52:25
994384066613932032	0	0	2018-05-10 01:10:10
942501650119495680	0	0	2017-12-17 21:07:58
851481254629441536	0	0	2017-04-10 17:05:25
831253778619891712	0	0	2017-02-13 21:28:39
826442494346985476	0	0	2017-01-31 14:50:19
813917728884985856	0	0	2016-12-28 01:21:23
809526334082859008	0	0	2016-12-15 22:31:32
806954234767884297	0	0	2016-12-08 20:10:56
806205780701478912	0	0	2016-12-06 18:36:51
803312817583464448	0	0	2016-11-28 19:01:15
795654881755283456	0	0	2016-11-07 15:51:21
794556591714377729	0	0	2016-11-04 15:07:08
793134408186286080	0	0	2016-10-31 16:55:53
786593812797796352	0	0	2016-10-13 15:45:53
785928943287218176	0	0	2016-10-11 19:43:56
785885105537421313	0	0	2016-10-11 16:49:44
781310856948649984	0	0	2016-09-29 01:53:19
770618198764826624	0	0	2016-08-30 13:44:30
768258589093826561	0	0	2016-08-24 01:28:15
768197006657331200	0	0	2016-08-23 21:23:33
768139975657332736	0	0	2016-08-23 17:36:56
767736685077508096	0	0	2016-08-22 14:54:24
760615684942344193	0	0	2016-08-02 23:18:05
760214479103676417	0	0	2016-08-01 20:43:50
757704400928288768	0	0	2016-07-25 22:29:41
750770889638092800	0	0	2016-07-06 19:18:23
747828589366648832	0	0	2016-06-28 16:26:44
745460619239817216	0	0	2016-06-22 03:37:16
738721380754034695	0	0	2016-06-03 13:17:56
738105070957404160	0	0	2016-06-01 20:28:56
737713226540929024	0	0	2016-05-31 18:31:53
736205645028810752	0	0	2016-05-27 14:41:18
735278087177306112	0	0	2016-05-25 01:15:31
735267879956795392	0	0	2016-05-25 00:34:57
734074432424017920	0	0	2016-05-21 17:32:37
731924730945503232	1	0	2016-05-15 19:10:29
731646601609908225	0	0	2016-05-15 00:45:17
730866766163808256	0	0	2016-05-12 21:06:30
717076590132236288	0	0	2016-04-04 19:49:16
711957700792287232	0	0	2016-03-21 16:48:38
709856555647115264	0	0	2016-03-15 21:39:26
709836300031893504	0	0	2016-03-15 20:18:56
701790000992497665	0	0	2016-02-22 15:25:49
701789989470732288	0	0	2016-02-22 15:25:46
701789967463292928	0	0	2016-02-22 15:25:41
699275500947017728	0	0	2016-02-15 16:54:05
696851774334959616	0	0	2016-02-09 00:23:04
694606132623581185	0	0	2016-02-02 19:39:41
693652626689232897	1	0	2016-01-31 04:30:48
690168974282067968	0	0	2016-01-21 13:48:00
664140088075513856	0	0	2015-11-10 17:58:30
646504302912143360	0	0	2015-09-23 02:00:11
646497274265247745	0	0	2015-09-23 01:32:16
646497247954358272	0	0	2015-09-23 01:32:09
646484533211217920	0	0	2015-09-23 00:41:38
646454595242336256	0	0	2015-09-22 22:42:40
630795750008561664	0	0	2015-08-10 17:40:01
629373672642490368	0	0	2015-08-06 19:29:11
627205104668512256	0	0	2015-07-31 19:52:04
626820060317937665	0	0	2015-07-30 18:22:02
625133034946232320	0	0	2015-07-26 02:38:24
625109111869276160	1	0	2015-07-26 01:03:20
622256714989985792	0	0	2015-07-18 04:08:56
621913135302074369	1	0	2015-07-17 05:23:40
618599299346141184	0	0	2015-07-08 01:55:40
616606377847361539	0	0	2015-07-02 13:56:31
615713918871166976	1	0	2015-06-30 02:50:12
615710906677198848	1	0	2015-06-30 02:38:14
613359372513710081	0	0	2015-06-23 14:54:04
609065467794366464	0	0	2015-06-11 18:31:38
607282064421847041	0	0	2015-06-06 20:25:01
606612309817982976	0	0	2015-06-05 00:03:39
606218732478726144	0	0	2015-06-03 21:59:43
604839100042977280	0	0	2015-05-31 02:37:33
604826011599970304	0	0	2015-05-31 01:45:32
604760840001089536	0	0	2015-05-30 21:26:34
602517490288066560	0	0	2015-05-24 16:52:18
601908631882215424	0	0	2015-05-23 00:32:55
596917160066187264	0	0	2015-05-09 05:58:35
596907805317038080	0	0	2015-05-09 05:21:25
596904752031485952	0	0	2015-05-09 05:09:17
596189232319766528	0	0	2015-05-07 05:46:04
596157282808803328	0	0	2015-05-07 03:39:06
591390610709348352	0	0	2015-04-23 23:58:03
590283083317837824	0	0	2015-04-20 22:37:08
590130833303842818	0	0	2015-04-20 12:32:09
584245511231639553	0	0	2015-04-04 06:45:59
584241708000378880	0	0	2015-04-04 06:30:52
582074153764696064	0	0	2015-03-29 06:57:47
570249489329446915	0	0	2015-02-24 15:50:47
570238129476497408	0	0	2015-02-24 15:05:39
558011650830516224	0	0	2015-01-21 21:21:59
557651282534858755	0	0	2015-01-20 21:30:01
557251596774830080	0	0	2015-01-19 19:01:48
557249733908267008	0	0	2015-01-19 18:54:24
557246881978646529	0	0	2015-01-19 18:43:04
557246620623183872	0	0	2015-01-19 18:42:02
557214620344385536	0	0	2015-01-19 16:34:52
557050386004324352	0	0	2015-01-19 05:42:16
557050220044120065	0	0	2015-01-19 05:41:36
556683312723677184	0	0	2015-01-18 05:23:39
555810983302922241	0	0	2015-01-15 19:37:19
555793107422543872	0	0	2015-01-15 18:26:17
555792093806100480	0	0	2015-01-15 18:22:15
555789218233208832	0	0	2015-01-15 18:10:50
555779251950329857	0	0	2015-01-15 17:31:14
555778547399528448	0	0	2015-01-15 17:28:26
555755046743572481	0	0	2015-01-15 15:55:03
555415629852053504	0	0	2015-01-14 17:26:19
555043335468220416	0	0	2015-01-13 16:46:58
554704108993916928	0	0	2015-01-12 18:19:00
552584319047565312	0	0	2015-01-06 21:55:42
551877380139388928	0	0	2015-01-04 23:06:35
550840959857344513	0	0	2015-01-02 02:28:13
550725853391630337	0	0	2015-01-01 18:50:50
550724664134500353	0	0	2015-01-01 18:46:06
550724475915100160	0	0	2015-01-01 18:45:21
550724061807247361	0	0	2015-01-01 18:43:42
550723878524559360	0	0	2015-01-01 18:42:59
550723699402604544	0	0	2015-01-01 18:42:16
550723553763815426	0	0	2015-01-01 18:41:41
550723488252973057	0	0	2015-01-01 18:41:26
525346666673876992	0	0	2014-10-23 18:03:00
525340896200761346	0	0	2014-10-23 17:40:04
470350605731758080	0	0	2014-05-24 23:48:17
464611100127145984	0	0	2014-05-09 03:41:32
464547212815761409	1	0	2014-05-08 23:27:41
464532107860385794	0	0	2014-05-08 22:27:39
464530942758248448	0	0	2014-05-08 22:23:01
464530796968431616	0	0	2014-05-08 22:22:27
464530178056925184	0	0	2014-05-08 22:19:59
464526681148252160	0	0	2014-05-08 22:06:05
464526630040662016	0	0	2014-05-08 22:05:53
464525263846404096	0	0	2014-05-08 22:00:28
464519418131656704	0	0	2014-05-08 21:37:14
450385418131755009	0	0	2014-03-30 21:33:46
449319047046234112	0	0	2014-03-27 22:56:23
449235686114074624	0	0	2014-03-27 17:25:08
433315662023237633	0	0	2014-02-11 19:04:39
423515726566006785	0	0	2014-01-15 18:03:12
377413319314792448	0	0	2013-09-10 12:48:41
353780648760188929	0	0	2013-07-07 07:40:54
353779481091125248	0	0	2013-07-07 07:36:15
347817039668338688	0	0	2013-06-20 20:43:39
346677013203001344	0	0	2013-06-17 17:13:35
346676912275480576	0	0	2013-06-17 17:13:11
346334880394772480	1	0	2013-06-16 18:34:04
345680916330463232	1	0	2013-06-14 23:15:27
345250194172018688	0	0	2013-06-13 18:43:55
345233650931085312	1	0	2013-06-13 17:38:11
344913065470488576	0	0	2013-06-12 20:24:17
344868825486987264	1	0	2013-06-12 17:28:30
344824299942711297	1	0	2013-06-12 14:31:34
344664961705984002	0	0	2013-06-12 03:58:25
344633957536645120	0	0	2013-06-12 01:55:13
344148170118418433	2	0	2013-06-10 17:44:52
344147259270770689	0	0	2013-06-10 17:41:15
344145510497677313	1	0	2013-06-10 17:34:18
344134061205356544	0	0	2013-06-10 16:48:48
344130508084609024	1	0	2013-06-10 16:34:41
342123514779824129	0	0	2013-06-05 03:39:36
137652085654159361	0	0	2011-11-18 22:03:09
128576877643300864	0	0	2011-10-24 21:01:31
124583241880576001	0	0	2011-10-13 20:32:14
124150902075572224	0	0	2011-10-12 15:54:16
123882503038697472	0	0	2011-10-11 22:07:45
122542051643494400	0	0	2011-10-08 05:21:16
122541688538398721	0	0	2011-10-08 05:19:49
122044885581836289	0	0	2011-10-06 20:25:42
121720875488772096	0	0	2011-10-05 22:58:12
121712648172732416	0	0	2011-10-05 22:25:31
116987522009149442	0	0	2011-09-22 21:29:33
107480209162379264	0	0	2011-08-27 15:50:53
107220559846322176	0	0	2011-08-26 22:39:08
107183092199981056	0	0	2011-08-26 20:10:15
106884719756582912	0	0	2011-08-26 00:24:37
106883226966044672	0	0	2011-08-26 00:18:41
106872524830281728	0	0	2011-08-25 23:36:10
106852112180326400	0	0	2011-08-25 22:15:03
106489596363280384	0	0	2011-08-24 22:14:32
106398770073321472	0	0	2011-08-24 16:13:38
106033193781702656	0	0	2011-08-23 16:00:58
106026945531219968	0	0	2011-08-23 15:36:08
105758505344045056	0	0	2011-08-22 21:49:27
104566369835687936	0	0	2011-08-19 14:52:19
104514321299685376	0	0	2011-08-19 11:25:30
104324036254892033	0	0	2011-08-18 22:49:23
87680036840288256	0	0	2011-07-04 00:32:04
87187870619680768	0	0	2011-07-02 15:56:22
81407068229218305	0	0	2011-06-16 17:05:32
81399760753405952	0	0	2011-06-16 16:36:29
75677536536887296	0	0	2011-05-31 21:38:25
74588839699689472	0	0	2011-05-28 21:32:19
74329766525808640	0	0	2011-05-28 04:22:51
74329022238171136	0	0	2011-05-28 04:19:54
74328692691705856	0	0	2011-05-28 04:18:35
74314375539851264	0	0	2011-05-28 03:21:42
74166410422652931	0	0	2011-05-27 17:33:44
74156540860448770	1	0	2011-05-27 16:54:31
73764862060273664	0	0	2011-05-26 14:58:08
73495948873043968	0	0	2011-05-25 21:09:34
73442379545317376	0	0	2011-05-25 17:36:42
73404318035886080	0	0	2011-05-25 15:05:27
73403435889852416	0	0	2011-05-25 15:01:57
73192516886863873	0	0	2011-05-25 01:03:50
73107796178124802	0	0	2011-05-24 19:27:11
73075468148023296	0	0	2011-05-24 17:18:43
73056538914324480	0	0	2011-05-24 16:03:30
72886751198330880	0	0	2011-05-24 04:48:50
72883441963761664	0	0	2011-05-24 04:35:41
72872580658380800	0	0	2011-05-24 03:52:31
72872317667123200	0	0	2011-05-24 03:51:29
72870403546161152	0	0	2011-05-24 03:43:52
72858206430445568	0	0	2011-05-24 02:55:24
72782102495625216	0	0	2011-05-23 21:53:00
